 Annotation Property	GENEPIO:0000001 (metadata section)
 Class	GENEPIO:0001673 (date of pregnancy outcome)
 Class	GENEPIO:0001674 (contact specification - physician)
 Class	GENEPIO:0001675 (obsolete: matrix - solid)
 Class	GENEPIO:0001676 (contact specification - parent/guardian)
 Class	GENEPIO:0001677 (contact specification - patient)
 Class	GENEPIO:0001678 (draft GenEpiO case epidemiology record)
 Class	GENEPIO:0001679 (contact specification - address)
 Class	GENEPIO:0001680 (obsolete: draft IRIDA model)
 Class	GENEPIO:0001681 (laboratory sequencing datum)
 Class	GENEPIO:0001682 (host illness associated with)
 Class	GENEPIO:0001683 (draft subject demographic specification)
 Class	GENEPIO:0001684 (E. coli K antigen specification)
 Class	GENEPIO:0001685 (other antigen specification)
 Class	GENEPIO:0001686 (E. coli serotype specification)
 Class	GENEPIO:0001687 (Salmonella serovar specification)
 Class	GENEPIO:0001688 (test specification)
 Class	GENEPIO:0001689 (listeria antigen)
 Class	GENEPIO:0001690 (obsolete: matrix - fluid)
 Class	GENEPIO:0001691 (listeria serotype 1/2a)
 Class	GENEPIO:0001692 (listeria serotype 1/2b)
 Class	GENEPIO:0001693 (listeria serotype 1/2c)
 Class	GENEPIO:0001694 (listeria serotype 1/2)
 Class	GENEPIO:0001695 (listeria serotype 3a)
 Class	GENEPIO:0001696 (listeria serotype 3b)
 Class	GENEPIO:0001697 (listeria serotype 4a)
 Class	GENEPIO:0001698 (listeria serotype 4b)
 Class	GENEPIO:0001699 (listeria serotype 4c)
 Class	GENEPIO:0001700 (listeria serotype 4d)
 Class	GENEPIO:0001701 (listeria serotype 4e)
 Class	GENEPIO:0001702 (non-monocytogenes listeria antigen)
 Class	GENEPIO:0001703 (listeria serotype 3c)
 Class	GENEPIO:0001704 (textual test result)
 Class	GENEPIO:0001705 (obsolete: draft GenEpiO BioProject standard)
 Class	GENEPIO:0001706 (NCBI BioSample collection code)
 Class	GENEPIO:0001707 (draft NCBI BioSample host model)
 Class	GENEPIO:0001708 (food - solid)
 Class	GENEPIO:0001709 (lab test datum)
 Class	GENEPIO:0001710 (Xbal)
 Class	GENEPIO:0001711 (Ascl)
 Class	GENEPIO:0001712 (Smal)
 Class	GENEPIO:0001713 (Blnl)
 Class	GENEPIO:0001714 (Apal)
 Class	GENEPIO:0001715 (Kpnl)
 Class	GENEPIO:0001716 (subgroup)
 Class	GENEPIO:0001717 (viral subtype)
 Class	GENEPIO:0001718 (serotype specification)
 Class	GENEPIO:0001719 (phage type specification)
 Class	GENEPIO:0001720 (obsolete: swab - food contact surface)
 Class	GENEPIO:0001721 (NCBI culture collection)
 Class	GENEPIO:0001722 (NCBI specimen voucher)
 Class	GENEPIO:0001723 (culture identifier)
 Class	GENEPIO:0001724 (subject organism common name)
 Class	GENEPIO:0001725 (temperature of air - average daily)
 Class	GENEPIO:0001726 (obsolete: swab - inanimate object surface)
 Class	GENEPIO:0001727 (obsolete: swab - meat)
 Class	GENEPIO:0001728 (obsolete: swab - rectal swab)
 Class	GENEPIO:0001729 (obsolete: swab - tissue)
 Class	GENEPIO:0001730 (unknown source)
 Class	GENEPIO:0001731 (human clinical specimen)
 Class	GENEPIO:0001732 (obsolete: environmental (swab or sampling))
 Class	GENEPIO:0001733 (avian - wild)
 Class	GENEPIO:0001734 (avian - domesticated)
 Class	GENEPIO:0001735 (human clinical specimen - invasive)
 Class	GENEPIO:0001736 (pH measurement)
 Class	GENEPIO:0001737 (precipitation)
 Class	GENEPIO:0001738 (assembly and annotation project objective)
 Class	GENEPIO:0001740 (line list row record)
 Class	GENEPIO:0001741 (draft GenEpiO component record)
 Class	GENEPIO:0001742 (subnational region)
 Class	GENEPIO:0001743 (public health data standard)
 Class	GENEPIO:0001744 (0D space)
 Class	GENEPIO:0001747 (reagent derived material from specimen)
 Class	GENEPIO:0001748 (transcriptome data from specimen)
 Class	GENEPIO:0001749 (proteome data derived from specimen)
 Class	GENEPIO:0001750 (purified chromosome from specimen)
 Class	GENEPIO:0001751 (Targeted Locus Loci data capture)
 Class	GENEPIO:0001752 (clone end data capture)
 Class	GENEPIO:0001753 (exome specific data capture)
 Class	GENEPIO:0001754 (random survey data capture)
 Class	GENEPIO:0001755 (contact specification)
 Class	GENEPIO:0001756 (contact specification - phone)
 Class	GENEPIO:0001757 (millimetres per day)
 Class	GENEPIO:0001758 (obsolete: millisiemens)
 Class	GENEPIO:0001759 (millisiemens per centimetre)
 Class	GENEPIO:0001760 (cubic metre per second)
 Class	GENEPIO:0001761 (micromole per kilogram)
 Class	GENEPIO:0001762 (micromole per litre)
 Class	GENEPIO:0001764 (quality control record)
 Class	GENEPIO:0001765 (1 - standard draft)
 Class	GENEPIO:0001766 (2 - high quality draft)
 Class	GENEPIO:0001767 (3 - improved high quality draft)
 Class	GENEPIO:0001768 (4 - annotation-directed improvement)
 Class	GENEPIO:0001769 (5 - non-contiguous finished)
 Class	GENEPIO:0001770 (6 - finished)
 Class	GENEPIO:0001771 (contig NG99)
 Class	GENEPIO:0001773 (contig LG50)
 Class	GENEPIO:0001774 (contig L99)
 Class	GENEPIO:0001775 (subject age at time of specimen collection)
 Class	GENEPIO:0001776 (pathogen specific data standard)
 Class	GENEPIO:0001777 (draft tuberculosis contextual data standard)
 Class	GENEPIO:0001778 (draft PulseNet Canada Salmonella submission standard)
 Class	GENEPIO:0001779 (PFGE Xbal pattern)
 Class	GENEPIO:0001780 (PFGE Blnl pattern)
 Class	GENEPIO:0001781 (National Laboratory for Enteric Pathogens Identifier)
 Class	GENEPIO:0001782 (upload modified date)
 Class	GENEPIO:0001783 (travel destination)
 Class	GENEPIO:0001784 (symptom duration)
 Class	GENEPIO:0001785 (specimen collection location - city)
 Class	GENEPIO:0001786 (obsolete: sample city)
 Class	GENEPIO:0001787 (genus of pathogen)
 Class	GENEPIO:0001788 (species of pathogen)
 Class	GENEPIO:0001789 (symptom cessation date)
 Class	GENEPIO:0001790 (specimen datum)
 Class	GENEPIO:0001791 (isolate identifier specification)
 Class	GENEPIO:0001792 (data obfuscated)
 Class	GENEPIO:0001793 (data aggregated)
 Class	GENEPIO:0001794 (limited data set)
 Class	GENEPIO:0001795 (de-identified data)
 Class	GENEPIO:0001796 (data protected)
 Class	GENEPIO:0001797 (specimen collector)
 Class	GENEPIO:0001798 (NCBI BioSample culture identifier)
 Class	GENEPIO:0001799 (user identifier)
 Class	GENEPIO:0001800 (sequence identifier)
 Class	GENEPIO:0001801 (metagenomic species identification)
 Class	GENEPIO:0001802 (document citation identifier)
 Class	GENEPIO:0001803 (organization identifier)
 Class	GENEPIO:0001804 (collection identifier)
 Class	GENEPIO:0001805 (variant calling / pathogen identification and clustering)
 Class	GENEPIO:0001806 (isolate (pathogen) identification)
 Class	GENEPIO:0001807 (obsolete: NCBI BioSample ID -)
 Class	GENEPIO:0001808 (specimen title)
 Class	GENEPIO:0001809 (draft GenEpiO isolate source context)
 Class	GENEPIO:0001810 (restricted access)
 Class	GENEPIO:0001811 (State (United States of America))
 Class	GENEPIO:0001812 (health status trend datum)
 Class	GENEPIO:0001813 (ITIS)
 Class	GENEPIO:0001818 (MESH)
 Class	GENEPIO:0001819 (NCIT)
 Class	GENEPIO:0001820 (NIFSTD)
 Class	GENEPIO:0001821 (SNOMEDCT)
 Class	GENEPIO:0001822 (ASFIS)
 Class	GENEPIO:0001823 (FTT)
 Class	GENEPIO:0001824 (TGN)
 Class	GENEPIO:0001825 (Wikipedia)
 Class	GENEPIO:0001826 (SWEETRealm)
 Class	GENEPIO:0001827 (Geonames)
 Class	GENEPIO:0001828 (EcoLexicon)
 Class	GENEPIO:0001829 (draft IRIDA standard)
 Class	GENEPIO:0001830 (ISO3166-1)
 Class	GENEPIO:0001831 (ISO3166-2)
 Class	GENEPIO:0001832 (ANSI INCITS 38)
 Class	GENEPIO:0001833 (GNISID)
 Class	GENEPIO:0001834 (LTER)
 Class	GENEPIO:0001835 (NCBI BioSample Pathogen.cl standard)
 Class	GENEPIO:0001836 (NCBI BioProject standard)
 Class	GENEPIO:0001837 (AHA HIPPA standard)
 Class	GENEPIO:0001838 (PubMed)
 Class	GENEPIO:0001839 (PulseNet submission standard)
 Class	GENEPIO:0001840 (good health status)
 Class	GENEPIO:0001841 (fair health status)
 Class	GENEPIO:0001842 (serious health status)
 Class	GENEPIO:0001843 (health status history datum)
 Class	GENEPIO:0001844 (origin)
 Class	GENEPIO:0001845 (NHS standard)
 Class	GENEPIO:0001846 (critical but stable health status)
 Class	GENEPIO:0001847 (comfortable health status)
 Class	GENEPIO:0001848 (progressing well health status)
 Class	GENEPIO:0001849 (discharged from hospital)
 Class	GENEPIO:0001850 (datum status)
 Class	GENEPIO:0001851 (recorded)
 Class	GENEPIO:0001852 (undetermined health status - awaiting assessment)
 Class	GENEPIO:0001853 (worsening health trend)
 Class	GENEPIO:0001859 (n-dimensional concept)
 Class	GENEPIO:0001862 (latitude specification (ISO 6709))
 Class	GENEPIO:0001863 (longitude specification (ISO 6709))
 Class	GENEPIO:0001864 (1D coordinate system)
 Class	GENEPIO:0001865 (2D coordinate system)
 Class	GENEPIO:0001866 (3D coordinate system)
 Class	GENEPIO:0001867 (radial coordinate system)
 Class	GENEPIO:0001873 (datetime range intermediate)
 Class	GENEPIO:0001876 (datetime range item)
 Class	GENEPIO:0001877 (datetime range end)
 Class	GENEPIO:0001878 (datetime range start)
 Class	GENEPIO:0001884 (n-dimensional entity)
 Class	GENEPIO:0001885 (surface area)
 Class	GENEPIO:0001886 (designated area on Earth)
 Class	GENEPIO:0001888 (Canada postal code)
 Class	GENEPIO:0001890 (obsolete: US postal code)
 Class	GENEPIO:0001892 (entity history record)
 Class	GENEPIO:0001893 (generic range history record)
 Class	GENEPIO:0001896 (phone type)
 Class	GENEPIO:0001900 (set)
 Class	GENEPIO:0001904 (phone number (North America))
 Class	GENEPIO:0001907 (spheroid)
 Class	GENEPIO:0001911 (integer)
 Class	GENEPIO:0001912 (ones)
 Class	GENEPIO:0001913 (tens)
 Class	GENEPIO:0001914 (hundreds)
 Class	GENEPIO:0001915 (thousands)
 Class	GENEPIO:0001916 (tenths)
 Class	GENEPIO:0001918 (millions)
 Class	GENEPIO:0001919 (number)
 Class	GENEPIO:0001921 (sequencing instrument model)
 Class	GENEPIO:0001922 (circle)
 Class	GENEPIO:0001923 (Illumina platform)
 Class	GENEPIO:0001924 (Complete Genomics platform)
 Class	GENEPIO:0001925 (earth area boundary census)
 Class	GENEPIO:0001926 (Roche LS454 platform)
 Class	GENEPIO:0001927 (PacBio platform)
 Class	GENEPIO:0001928 (SOLiD 4hq System)
 Class	GENEPIO:0001929 (SOLiD 5500)
 Class	GENEPIO:0001930 (SOLiD 5500xl)
 Class	GENEPIO:0001931 (SOLiD PI System)
 Class	GENEPIO:0001932 (SOLiD System 2.0)
 Class	GENEPIO:0001933 (SOLiD System 3.0)
 Class	GENEPIO:0001934 (2D entity)
 Class	GENEPIO:0001935 (obsolete: Ion Torrent PGM)
 Class	GENEPIO:0001936 (454 Genome Sequencer FLX Titanium)
 Class	GENEPIO:0001937 (454 Genome Sequencer)
 Class	GENEPIO:0001938 (454 Genome Sequencer Junior)
 Class	GENEPIO:0001940 (library selection)
 Class	GENEPIO:0001941 (5-methylcytidine antibody method)
 Class	GENEPIO:0001942 (CAGE method)
 Class	GENEPIO:0001943 (CF-H method)
 Class	GENEPIO:0001944 (CF-M method)
 Class	GENEPIO:0001945 (CF-S method)
 Class	GENEPIO:0001946 (CF-T method)
 Class	GENEPIO:0001947 (ChIP method)
 Class	GENEPIO:0001948 (DNAse method)
 Class	GENEPIO:0001949 (HMPR method)
 Class	GENEPIO:0001950 (Hybrid Selection method)
 Class	GENEPIO:0001951 (MBD2 protein methyl-CpG binding domain method)
 Class	GENEPIO:0001952 (MF method)
 Class	GENEPIO:0001953 (MNase method)
 Class	GENEPIO:0001954 (MSLL method)
 Class	GENEPIO:0001955 (PCR method)
 Class	GENEPIO:0001956 (RACE method)
 Class	GENEPIO:0001957 (RANDOM PCR method)
 Class	GENEPIO:0001958 (RANDOM method)
 Class	GENEPIO:0001959 (RT-PCR method)
 Class	GENEPIO:0001960 (Reduced Representation method)
 Class	GENEPIO:0001961 (Restriction Digest method)
 Class	GENEPIO:0001962 (cDNA method)
 Class	GENEPIO:0001963 (size fractionation method)
 Class	GENEPIO:0001964 (other library method)
 Class	GENEPIO:0001965 (library source)
 Class	GENEPIO:0001966 (genomic source)
 Class	GENEPIO:0001967 (metagenomic source)
 Class	GENEPIO:0001968 (metatranscriptomic source)
 Class	GENEPIO:0001969 (other library source)
 Class	GENEPIO:0001970 (synthetic source)
 Class	GENEPIO:0001971 (transcriptomic source)
 Class	GENEPIO:0001972 (viral RNA source)
 Class	GENEPIO:0001973 (library strategy)
 Class	GENEPIO:0001974 (amplicon strategy)
 Class	GENEPIO:0001975 (Bisulfite-Seq strategy)
 Class	GENEPIO:0001976 (clone end strategy)
 Class	GENEPIO:0001977 (clone strategy)
 Class	GENEPIO:0001978 (CTS strategy)
 Class	GENEPIO:0001979 (ChIP-Seq strategy)
 Class	GENEPIO:0001980 (DNase-Hypersensitivity strategy)
 Class	GENEPIO:0001981 (EST strategy)
 Class	GENEPIO:0001982 (finishing strategy)
 Class	GENEPIO:0001983 (FL-cDNA strategy)
 Class	GENEPIO:0001984 (MBD-Seq strategy)
 Class	GENEPIO:0001985 (MNase-Seq strategy)
 Class	GENEPIO:0001986 (MRE-Seq strategy)
 Class	GENEPIO:0001987 (MeDIP-Seq strategy)
 Class	GENEPIO:0001988 (other library strategy)
 Class	GENEPIO:0001989 (pool clone strategy)
 Class	GENEPIO:0001990 (RNA-Seq strategy)
 Class	GENEPIO:0001991 (WCS strategy)
 Class	GENEPIO:0001992 (WGS strategy)
 Class	GENEPIO:0001993 (WXS strategy)
 Class	GENEPIO:0001994 (library construction protocol)
 Class	GENEPIO:0001995 (library name)
 Class	GENEPIO:0001996 (2D boundary)
 Class	GENEPIO:0001997 (colony forming unit per 100 milliliter)
 Class	GENEPIO:0001998 (decimal quantity unit)
 Class	GENEPIO:0001999 (draft tuberculosis - dataset features and provenance)
 Class	GENEPIO:0002000 (draft tuberculosis - case specimen characteristics)
 Class	GENEPIO:0002001 (draft tuberculosis - case subject characteristics)
 Class	GENEPIO:0002002 (draft tuberculosis - case risk factors)
 Class	GENEPIO:0002003 (draft tuberculosis - case clinical presentation)
 Class	GENEPIO:0002004 (draft tuberculosis - case laboratory testing)
 Class	GENEPIO:0002005 (draft tuberculosis - case medication)
 Class	GENEPIO:0002006 (draft isolate whole genome sequencing model)
 Class	GENEPIO:0002007 (draft tuberculosis - case model)
 Class	GENEPIO:0002008 (Mycobacterium tuberculosis lineage)
 Class	GENEPIO:0002009 (TB lineage 2 - East-Asian, includes Bejing)
 Class	GENEPIO:0002010 (TB lineage 3 - East-African Indian, includes CAS/Delhi)
 Class	GENEPIO:0002011 (TB lineage 4 - Euro-American, includes Haarlem, LAM3, X, T, F11, H37Rv)
 Class	GENEPIO:0002012 (TB lineage 1 - Indo-Oceanic)
 Class	GENEPIO:0002013 (TB lineage 5 - West African 1)
 Class	GENEPIO:0002014 (TB lineage 6 - West African 2)
 Class	GENEPIO:0002015 (isolate preparation facility)
 Class	GENEPIO:0002016 (plant product)
 Class	GENEPIO:0002017 (geospatial name)
 Class	GENEPIO:0002018 (personal health datum)
 Class	GENEPIO:0002019 (host hospital service status)
 Class	GENEPIO:0002020 (admitted to hospital)
 Class	GENEPIO:0002021 (treated and released (not admitted to hospital))
 Class	GENEPIO:0002022 (treated and transferred)
 Class	GENEPIO:0002023 (satisfactory health status)
 Class	GENEPIO:0002024 (subject health status (UK NHS))
 Class	GENEPIO:0002025 (subject health status (AHA))
 Class	GENEPIO:0002026 (stable health trend)
 Class	GENEPIO:0002027 (obsolete: ordinal variable)
 Class	GENEPIO:0002028 (mapping (reference based))
 Class	GENEPIO:0002029 (data protection item)
 Class	GENEPIO:0002030 (subject provided consent)
 Class	GENEPIO:0002031 (ordinal value specification)
 Class	GENEPIO:0002032 (consent datum)
 Class	GENEPIO:0002033 (agency provided consent)
 Class	GENEPIO:0002034 (draft ISO sequence repository field)
 Class	GENEPIO:0002035 (centre point)
 Class	GENEPIO:0002036 (phenotypic antimicrobial drug susceptibility test datum)
 Class	GENEPIO:0002037 (obsolete: antimicrobial resistance phenotype)
 Class	GENEPIO:0002038 (obsolete: antibiotic intermediate resistance (I))
 Class	GENEPIO:0002039 (obsolete: antibiotic nonsensitive (high resistance))
 Class	GENEPIO:0002040 (antibiotic resistance not defined)
 Class	GENEPIO:0002041 (obsolete: antibiotic resistant (R))
 Class	GENEPIO:0002042 (obsolete: antibiotic sensitive (S))
 Class	GENEPIO:0002043 (obsolete: sensitive - dose dependent)
 Class	GENEPIO:0002044 (MIC dilution measurement datum)
 Class	GENEPIO:0002045 (obsolete: antimicrobial resistance testing method)
 Class	GENEPIO:0002046 (obsolete: agar dilution evidence)
 Class	GENEPIO:0002047 (antimicrobial resistance testing method device or reagent)
 Class	GENEPIO:0002048 (antimicrobial resistant plasmid type)
 Class	GENEPIO:0002049 (obsolete: antimicrobial resistance testing platform)
 Class	GENEPIO:0002050 (obsolete: Microscan)
 Class	GENEPIO:0002051 (obsolete: Phoenix)
 Class	GENEPIO:0002052 (obsolete: Sensititre)
 Class	GENEPIO:0002053 (obsolete: Vitek)
 Class	GENEPIO:0002054 (obsolete: Trek)
 Class	GENEPIO:0002055 (obsolete: manual - noncommercial)
 Class	GENEPIO:0002056 (obsolete: antimicrobial resistance testing platform vendor)
 Class	GENEPIO:0002057 (obsolete: Siemens)
 Class	GENEPIO:0002058 (obsolete: Biomérieux)
 Class	GENEPIO:0002059 (obsolete: Becton Dickinson)
 Class	GENEPIO:0002060 (Etest (device))
 Class	GENEPIO:0002061 (GM-NEG)
 Class	GENEPIO:0002062 (obsolete: antimicrobial resistance testing reference standard)
 Class	GENEPIO:0002063 (obsolete: British Society for Antimicrobial Chemotherapy (BSAC))
 Class	GENEPIO:0002064 (obsolete: Clinical and Laboratory Standards Institute (CLSI))
 Class	GENEPIO:0002065 (obsolete: Deutsches Institut für Normung)
 Class	GENEPIO:0002066 (obsolete: European Committe on Antimicrobial Susceptibility Testing (EUCAST))
 Class	GENEPIO:0002067 (obsolete: National Committee on Clinical Laboratory Standards (NCCLS))
 Class	GENEPIO:0002068 (obsolete: Société Française de Microbiologie (SFM))
 Class	GENEPIO:0002069 (obsolete: SIR)
 Class	GENEPIO:0002070 (obsolete: WRG)
 Class	GENEPIO:0002071 (first line tuberculosis drug)
 Class	GENEPIO:0002072 (last resort antibiotic)
 Class	GENEPIO:0002073 (National Institute of Allergy and Infectious Disease standard)
 Class	GENEPIO:0002074 (RefSeq accession identifier)
 Class	GENEPIO:0002075 (Genomic Standards Consortium (GSC) standard)
 Class	GENEPIO:0002076 (specimen collection site - geographic feature)
 Class	GENEPIO:0002077 (subject organism)
 Class	GENEPIO:0002078 (number of passages)
 Class	GENEPIO:0002079 (passage protocol)
 Class	GENEPIO:0002080 (obsolete: drug minimum inhibitory concentration unit)
 Class	GENEPIO:0002081 (draft sequence repository data - specimen collection)
 Class	GENEPIO:0002082 (contact specification - specimen related organization)
 Class	GENEPIO:0002083 (draft sequence repository contextual data standard)
 Class	GENEPIO:0002084 (draft sequence repository data - isolate)
 Class	GENEPIO:0002085 (draft sequence repository data - sequencing)
 Class	GENEPIO:0002086 (draft sequence repository data - geographic location)
 Class	GENEPIO:0002087 (draft sequence repository data - isolate passage history)
 Class	GENEPIO:0002088 (draft sequence repository data - antibiogram)
 Class	GENEPIO:0002089 (draft sequence repository data - virulence)
 Class	GENEPIO:0002090 (draft sequence repository data - sequencing quality control)
 Class	GENEPIO:0002091 (draft sequence repository data - submission to NCBI/DDBJ)
 Class	GENEPIO:0002092 (draft sequence repository data - submission to EBI)
 Class	GENEPIO:0002093 (sequencing dna extraction method datum)
 Class	GENEPIO:0002094 (obsolete: specimen collection device)
 Class	GENEPIO:0002095 (read paired-end merging software)
 Class	GENEPIO:0002096 (read adapter trimming software)
 Class	GENEPIO:0002097 (specimen collection location - state/province/territory/region)
 Class	GENEPIO:0002098 (obsolete: wild type (WT))
 Class	GENEPIO:0002099 (obsolete: non-wild type (NWT))
 Class	GENEPIO:0002100 (test drug maximum concentration)
 Class	GENEPIO:0002101 (test drug minimum concentration)
 Class	GENEPIO:0002102 (obsolete: antimicrobial resistance tissue specificity)
 Class	GENEPIO:0002103 (subject health status (NCIT))
 Class	GENEPIO:0002104 (contact specification - professional role)
 Class	GENEPIO:0002105 (specimen processing organization type)
 Class	GENEPIO:0002106 (draft sequence repository data - food specimen)
 Class	GENEPIO:0002107 (isolation medium)
 Class	GENEPIO:0002108 (draft travel log specification)
 Class	GENEPIO:0002109 (draft EBI antimicrobial susceptibility test V. 2017-08-30)
 Class	GENEPIO:0002110 (MIC diffusion measurement datum)
 Class	GENEPIO:0002111 (antimicrobial resistance testing reference standard version)
 Class	GENEPIO:0002112 (draft sequence repository data - antibiogram MIC measurement)
 Class	GENEPIO:0002113 (time value specification)
 Class	GENEPIO:0002114 (feces collection)
 Class	GENEPIO:0002115 (sputum collection)
 Class	GENEPIO:0002116 (rinsing for specimen collection)
 Class	GENEPIO:0002117 (swabbing for specimen collection)
 Class	GENEPIO:0002118 (exudate collection)
 Class	GENEPIO:0002119 (vacuuming for specimen collection)
 Class	GENEPIO:0002120 (tube containing media or preservative)
 Class	GENEPIO:0002121 (tube containing antimicrobial)
 Class	GENEPIO:0002122 (Whirlpak sampling bag)
 Class	GENEPIO:0002123 (spoon)
 Class	GENEPIO:0002124 (fork)
 Class	GENEPIO:0002125 (hand scoop)
 Class	GENEPIO:0002126 (trier)
 Class	GENEPIO:0002127 (vaccum device)
 Class	GENEPIO:0002128 (investigation identifier specification)
 Class	GENEPIO:0002129 (draft Enterobase contextual data standard)
 Class	GENEPIO:0002130 (virulence factor name)
 Class	GENEPIO:0002131 (virulence testing protocol name)
 Class	GENEPIO:0002132 (detection limit)
 Class	GENEPIO:0002133 (disease cluster)
 Class	GENEPIO:0002134 (infectious disease cluster)
 Class	GENEPIO:0002135 (EBI ENA Webin environmental feature)
 Class	GENEPIO:0002136 (EBI European Nucleotide Archive Webin)
 Class	GENEPIO:0002137 (breadth of coverage)
 Class	GENEPIO:0002138 (mean contig length)
 Class	GENEPIO:0002139 (raw sequence data processing datum)
 Class	GENEPIO:0002140 (specimen strain or isolate identifier)
 Class	GENEPIO:0002141 (latitude and longitude coordinate (NCBI BioSample format))
 Class	GENEPIO:0002142 (decimal value specification)
 Class	GENEPIO:0002143 (floating point value specification)
 Class	GENEPIO:0002144 (unsigned integer value specification)
 Class	GENEPIO:0002145 (date value specification)
 Class	GENEPIO:0002146 (assembly genome size specification)
 Class	GENEPIO:0002147 (sequencing facility name specification)
 Class	GENEPIO:0002148 (date value specification (ISO 8601))
 Class	GENEPIO:0002149 (strain identifier specification)
 Class	GENEPIO:0002150 (MIC diffusion measurement specification)
 Class	GENEPIO:0002151 (unsigned short integer value specification)
 Class	GENEPIO:0002152 (genomic sequence length specification)
 Class	GENEPIO:0002153 (MIC dilution measurement specification)
 Class	GENEPIO:0002154 (specimen collection date (ISO 8601))
 Class	GENEPIO:0002155 (date of diagnosis (ISO 8601))
 Class	GENEPIO:0002156 (subject age specification)
 Class	GENEPIO:0002157 (subject age at time of specimen collection specification)
 Class	GENEPIO:0002158 (boolean value specification)
 Class	GENEPIO:0002159 (specimen identifier specification)
 Class	GENEPIO:0002160 (email address specification)
 Class	GENEPIO:0002161 (region, province, state or territory specification)
 Class	GENEPIO:0002162 (specimen collection site specification)
 Class	GENEPIO:0002163 (subject organism common name specification)
 Class	GENEPIO:0002164 (subject identifier specification)
 Class	GENEPIO:0002165 (subject disease specification)
 Class	GENEPIO:0002166 (unsigned long integer value specification)
 Class	GENEPIO:0002167 (specimen collection site)
 Class	GENEPIO:0002168 (drug MIC unit specification)
 Class	GENEPIO:0002169 (test drug maximum concentration specification)
 Class	GENEPIO:0002170 (test drug minimum concentration specification)
 Class	GENEPIO:0002171 (listeria antigen specification)
 Class	GENEPIO:0002172 (URL specification)
 Class	GENEPIO:0002173 (travel destination specification)
 Class	GENEPIO:0002174 (specimen source substance specification)
 Class	GENEPIO:0002175 (specimen from organism specification)
 Class	GENEPIO:0002176 (duration specification)
 Class	GENEPIO:0002181 (obsolete: antimicrobial resistance phenotype - epidemiological cut-off values)
 Class	GENEPIO:0002185 (PulseNet Canada field)
 Class	GENEPIO:0002186 (PulseNet Canada Salmonella field)
 Class	GENEPIO:0002222 (specimen collection service)
 Class	GENEPIO:0002223 (bioinformatics analysis service)
 Class	GENEPIO:0002224 (isolate preparation service)
 Class	GENEPIO:0002225 (specimen related service)
 Class	GENEPIO:0002226 (specimen repository/biobank service)
 Class	GENEPIO:0002228 (critical health status)
 Class	GENEPIO:0002230 (Salmonella subspecies)
 Class	GENEPIO:0002231 (PFGE Spel pattern)
 Class	GENEPIO:0002232 (fecal indicator)
 Class	GENEPIO:0002233 (food isolate)
 Class	GENEPIO:0002234 (microbial 16S RNA typing)
 Class	GENEPIO:0002464 (E. coli H antigen specification)
 Class	GENEPIO:0002465 (E. coli O antigen specification)
 Class	GENEPIO:0002468 (string value specification)
 Class	GENEPIO:0002682 (Helicos platform)
 Class	GENEPIO:0002683 (Ion Torrent platform)
 Class	GENEPIO:0002684 (SOLiD sequening platform)
 Class	GENEPIO:0002713 (obsolete: drag swab)
 Class	GENEPIO:0002749 (rinse)
 Class	GENEPIO:0002750 (animal rinse)
 Class	GENEPIO:0003358 (obsolete: surface wipe)
 Class	GENEPIO:0004318 (culture plate)
 Class	GENEPIO:0004323 (fluid from meat rinse)
 Class	GENEPIO:0004324 (BGI Genomics platform)
 Class	GENEPIO:0004325 (MGI platform)
 Class	GENEPIO:0004326 (fecal grab)
 Class	GENEPIO:0004432 (Illumina NextSeq 1000)
 Class	GENEPIO:0004433 (Oxford Nanopore Flongle)
 Class	GENEPIO:0004511 (stomach content)
 Class	GENEPIO:0004512 (fecal composite)
 Class	GENEPIO:0004513 (feces (fresh))
 Class	GENEPIO:0004514 (feces (environmental))
 Class	GENEPIO:0004522 (box corer)
 Class	GENEPIO:0100289 (host health complications at time of specimen collection)
 Class	GENEPIO:0100290 (pre-existing conditions and risk factors at time of specimen collection)
 Class	GENEPIO:0100291 (signs and symptoms at time of specimen collection)
 Class	GENEPIO:0100548 (environmental testing sampling)
 Class	GENEPIO:0100549 (clinical trial sampling strategy)
 Class	GENEPIO:0100550 (field experiment sampling)
 Class	GENEPIO:0100581 (Environmental Pathogen Attribute Package (Pathogen.env))
 Class	GENEPIO:0100582 (survey study sampling strategy)
 Class	GENEPIO:0100586 (data field)
 Class	GENEPIO:0100634 (State or Province or Territory)
 Class	GENEPIO:0100898 (digestive tract substance)
 Class	GENEPIO:0100899 (caecal content)
 Class	GENEPIO:0100900 (intestinal content)
 Class	GENEPIO:0100929 (PONAR grab sampler)
 Class	GENEPIO:0100930 (soil sample probe)
 Class	GENEPIO:0100932 (specimen collection by scooping)
 Class	GENEPIO:0100933 (sediment sampling)
 Class	GENEPIO:0100934 (soil coring)
 Class	GENEPIO:0700000 (gene orientation)
 Class	GENEPIO:0700001 (strand orientation)
 Class	GENEPIO:0700002 (sense strand orientation)
 Class	GENEPIO:0700003 (antisense strand orientation)
 Class	GENEPIO:0700004 (forward gene orientation)
 Class	GENEPIO:0700005 (reverse gene orientation)
 Individual	GENEPIO:0001367 (obo:GENEPIO:0001367)
 Individual	GENEPIO:0001368 (obo:GENEPIO:0001368)
 Individual	GENEPIO:0001369 (obo:GENEPIO:0001369)
 Individual	GENEPIO:0001370 (obo:GENEPIO:0001370)
